time,altitude,vertical_speed
0.0,76.7304563812213,0.002741196206325576
0.5732729434967041,76.73045638110489,0.00274405341738921
1.0964603424072266,76.7304563812213,0.00273958271419667
1.6128458976745605,76.7304563812213,0.00273910347998171
2.1357455253601074,76.73045631730929,0.002741520007241433
2.6530041694641113,76.73045631730929,0.0027429231900356144
3.1544601917266846,76.73045631730929,0.0027408661089400915
3.6709094047546387,76.7304562535137,0.00274130996692552
4.173060178756714,76.7304563812213,0.0027395788149887743
4.6917195320129395,76.7304563812213,0.002744641089409626
5.211976766586304,76.7304563812213,0.0027439834307669574
5.731536388397217,76.73045631730929,0.0027383488538282046
6.2349653244018555,76.73045625339728,0.0027417811521837686
6.751611232757568,76.73045631730929,0.0027431285396759576
7.272365093231201,76.73045631730929,0.002743736345047492
7.7925660610198975,76.7304562535137,0.0027424721295988617
8.312235116958618,76.7304563174257,0.0027429926131032774
8.832929372787476,76.73045631730929,0.00273828038989816
9.35348629951477,76.7304563812213,0.002740306170324759
9.873117446899414,76.73045631730929,0.0027403397156678076
10.393641948699951,76.73045605211519,0.0027397605271989203
10.913511991500854,77.44621998886578,3.878302079554664
11.41521143913269,81.07231047935784,9.846473541430443
11.930252075195312,87.4977599090198,15.630973667269544
12.435428619384766,97.26081277616322,21.693551309916124
12.949901580810547,109.63306965085212,27.567383441659544
13.453123092651367,125.62800646631513,33.7223249524426
13.970545053482056,144.8361959067406,39.92422157835382
14.490248441696167,167.28200176020619,46.17281416952376
15.010549545288086,191.9402686530957,52.22497033989132
15.513159036636353,220.80708867916837,58.564747327265096
16.034305095672607,252.98372226057108,64.95940012090763
16.55074143409729,287.06296028906945,71.10890501973742
17.053938627243042,325.7771483458346,77.52138205691988
17.57090139389038,367.81731614482123,83.89455876988553
18.095672369003296,413.1654600679176,90.27101160941257
18.61471128463745,461.8365762087051,96.67170224980663
19.13112211227417,511.768029213883,102.8216196875367
19.634052753448486,566.9564579039579,109.20053644977409
20.1546847820282,625.4809888459276,115.63514818153439
20.670876264572144,687.352417488466,122.08238247757602
21.191505670547485,749.9902766387677,128.19675638609203
21.695159435272217,818.3526723386021,134.54023544879806
22.214946746826172,890.0562321392354,141.05625851174835
22.73060441017151,962.2630435453029,147.44910660550138
23.23483395576477,1040.7080205628881,154.06559921143074
23.75443172454834,1122.6621178371133,160.88211000527326
24.27503752708435,1208.1494902899722,167.65231524449382
24.795440435409546,1297.1734874476679,174.5057350345207
25.31153416633606,1386.1564133049687,181.16060495986073
25.815122604370117,1482.2312315288,188.10144471181405
26.330812454223633,1578.036672922317,194.76339328277845
26.83564329147339,1681.1757753355196,201.67220590318885
27.355198860168457,1787.8507593156537,208.42860113495675
27.875691652297974,1898.146430878085,215.38713388521668
28.39028811454773,2007.5608207756886,222.08246958975872
28.89530611038208,2124.9731754021486,229.22644394024616
29.416239738464355,2246.011258120765,236.10088572924974
29.929639101028442,2365.700165276765,242.41561742168943
30.431650400161743,2488.567884580116,248.7878273431897
30.935593366622925,2619.737860759953,255.5022800630974
31.452312469482422,2749.159485582495,261.8718301495319
31.95385766029358,2881.6146801327122,267.77991667968297
32.45570611953735,3028.10537557106,274.42563972501574
32.98982810974121,3172.5458700337913,280.9285250903105
33.50973033905029,3314.507310337969,286.51701423545325
34.0157151222229,3465.1495514594717,292.68358226843543
34.53497076034546,3619.038617779501,298.8141095717557
35.05211114883423,3776.226086099632,305.7143524326866
35.57403564453125,3937.135322154849,312.5815078120959
36.09127140045166,4095.170800263295,319.5157335621539
36.59648823738098,4263.210082762758,326.2072526577434
37.11641240119934,4434.68955671275,333.23750596448673
37.636638879776,4610.054574935348,340.68873413093417
38.157307386398315,4789.02241952566,347.4420391695505
38.6734185218811,4971.77985734737,355.2571127255436
39.191149950027466,5158.551120608579,362.5434056110623
39.70939922332764,5348.942717307364,370.197788683278
40.255221128463745,5558.5601660272805,378.4743452893937
40.79403877258301,5749.688452905859,385.59333383737044
41.29618287086487,5952.226895439788,393.25294108454955
41.81391716003418,6150.938617337262,400.91529241947734
42.31673550605774,6361.452603141894,408.97762972090504
42.83105182647705,6576.399283977458,417.2168493305902
43.349823236465454,6795.462607229943,425.2749844433359
43.869128465652466,7010.28977284499,433.8174063198091
44.373363971710205,7238.268237934564,442.5290960096951
44.88950276374817,7461.6490360029275,450.6656786928992
45.39482760429382,7698.313247459126,459.156080349337
45.91114830970764,7929.902767587453,467.1169635860598
46.432140588760376,8174.829066100181,475.3696751558866
46.95189881324768,8443.495910993428,484.0590290912538
47.493783473968506,8707.193766564596,492.50285086396855
48.03072786331177,8965.484977624612,501.0913990535706
48.56894087791443,9228.13533658092,509.02730629525524
49.072102785110474,9484.630997382454,517.0271005005293
49.57558488845825,9756.06044324243,526.2511620819672
50.09386396408081,10031.85441361845,534.1105662600622
50.61404538154602,10311.861100526294,542.7524134891264
51.13804268836975,10596.66463995399,552.0165282555216
51.6533465385437,10885.915201246738,560.0572326444334
52.172637701034546,11179.422458999325,568.4399941615947
52.69529414176941,11477.242929971078,576.5117651763944
53.21248531341553,11779.318419476622,585.142301956651
53.72987151145935,12074.230807790416,593.9917630837534
54.2315616607666,12385.372733574593,602.4108546699705
54.749826431274414,12701.030220368411,611.5918261430403
55.27382254600525,13021.574557447806,620.8338741753308
55.79310059547424,13346.584264097037,629.0990678043077
56.311442375183105,13663.438280146685,638.2149598508006
56.83184099197388,14023.170910319197,646.3306529141489
57.37551832199097,14374.666043504141,655.2825744861703
57.90992593765259,14731.089050350129,664.0872900430315
58.45360064506531,15078.452939521987,672.0121715640965
58.97342252731323,15430.337453196174,680.8988805460635
59.490997552871704,15786.213564405101,687.6754168582496
60.00928974151611,16145.293586474494,692.2203849182426
60.53197956085205,16506.163322639535,695.839828007113
61.055022954940796,16883.560614446294,701.9051776825034
61.59023070335388,17236.021497585345,707.6343688132664
62.09206819534302,17591.35849792708,713.383466475834
62.59403681755066,17963.737572769052,718.3303545780061
63.11356043815613,18338.193482822855,721.7584225682916
63.63182234764099,18699.762048048084,724.3041327612357
64.13391876220703,19077.320049787406,727.9873596246362
64.65261816978455,19457.045483373222,732.4190752951753
65.17007827758789,19824.239700515638,736.0657565879196
65.67293787002563,20207.869123241166,739.0275215635739
66.1946382522583,20577.716342911124,740.3895845720598
66.69691181182861,20962.791715672472,740.3993554210608
67.21399688720703,21347.38826544152,739.3666137168595
67.73260235786438,21731.76298381458,739.2579081724048
68.25046133995056,22116.440783856204,740.4516306755768
68.77215814590454,22516.2338756253,739.7082126843034
69.31384491920471,22914.5334051759,735.0398692947421
69.85146355628967,23309.168279705336,725.8728278827073
70.38957142829895,23683.253097959794,713.3176449232615
70.91199779510498,24064.846235056408,700.8512965910364
71.44993185997009,24426.5203432719,690.9295805551006
71.97401142120361,24769.706454508007,682.2595677724032
72.47616291046143,25122.051841039327,673.3581187596035
72.99033737182617,25469.89115921501,665.017343204553
73.51660418510437,25813.63719069166,657.5787752871473
74.0309362411499,26140.693414638867,651.0580577822171
74.53395771980286,26477.494457325432,644.7258641590138
75.05666399002075,26811.13752956246,638.9161776846784
75.57490825653076,27141.919741056045,633.7028189331216
76.09434962272644,27470.14013237867,629.0309822834029
76.60969352722168,27783.5642138673,624.9865034077
77.11701703071594,28107.501299161813,621.240809211575
77.63521599769592,28429.619724396965,617.9766778754495
78.15047430992126,28750.16679381905,615.1782667768346
78.67468762397766,29069.377214221633,612.8190707800821
79.19191336631775,29387.475191459525,610.8861440234954
79.7152898311615,29704.681006360333,609.3745135923856
80.23358511924744,30033.375114581315,608.2407133207205
80.7699806690216,30337.277476709685,607.5751466280552
81.27503776550293,30653.08420148003,607.2659602864027
81.79463267326355,30968.831790787517,607.2787563635391
82.31170344352722,31284.82906566141,608.7439660816573
82.83480954170227,31601.59757167974,610.1432419932136
83.35017347335815,31907.509950221516,613.6604432903678
83.8527660369873,32239.724918770837,615.0751703607641
84.394948720932,32559.217760567437,613.950120572266
84.92424583435059,32878.172481530695,612.9863921857932
85.43485426902771,33196.656910976395,612.130408055435
85.95160746574402,33502.49212232989,611.3788470209789
86.45464706420898,33820.17671640776,610.6484888150801
86.97143816947937,34137.491244780016,609.9509961801695
87.489417552948,34442.264028718695,609.2956408364088
87.99433708190918,34758.88126192987,608.6161046502193
88.50998759269714,35062.9857632959,607.9535921037059
89.01410508155823,35378.89835805271,607.2453653178022
89.53445553779602,35706.55823477497,606.4608961802398
90.07213020324707,36009.56300855568,605.7124590236235
90.57465505599976,36324.287266761065,604.9208441879967
91.09141778945923,36638.59714183712,604.1203709579563
91.61085534095764,36940.42485405621,603.3476745901937
92.11473894119263,37253.91658900399,602.5473905196425
92.63252830505371,37566.99408410373,601.7545331942345
93.14992451667786,37879.526109760394,600.529633732303
93.67361164093018,38191.42148337816,599.2258264955308
94.1930251121521,38502.59622657532,597.7329594417926
94.71159243583679,38812.882385155885,595.7602496653491
95.22991824150085,39110.05378262524,592.9932093419432
95.73618817329407,39417.49290070601,589.9496257194943
96.2511796951294,39711.9863855954,588.5002041968862
96.755934715271,40006.18621826416,588.2329583803001
97.25867342948914,40311.46494554158,585.805322167679
97.77567315101624,40620.43824542593,585.8290170322887
98.2940514087677,40912.95273585955,584.3897709502983
98.80424165725708,41216.33768077125,582.5446253331174
99.31361103057861,41507.061182205915,580.6876008199746
99.81540012359619,41808.66112874425,579.5112830404154
100.33041834831238,42098.103173172916,578.4215973310982
100.83244061470032,42387.00349876529,577.3435845060083
101.33518958091736,42686.89111973299,576.2333615932171
101.85482978820801,42986.20442756382,575.1339276969675
102.3706374168396,43273.46931107156,574.0879157071391
102.87306785583496,43571.65309482801,572.8418100808932
103.3945825099945,43869.030767751625,571.1039211211504
103.91084337234497,44154.176302781096,569.6882026026705
104.41412019729614,44450.010903956136,568.3084515459466
104.93096208572388,44733.79146678164,566.9812875029205
105.4342577457428,45028.21511343063,565.5849234288164
105.95343065261841,45321.91105602658,564.1760092267041
106.46959519386292,45581.09526835347,562.8741224728884
106.97190380096436,45895.79969654966,561.238816299481
107.49446415901184,46187.20238531404,559.7151947728473
108.01316452026367,46477.81800271373,558.2143311604036
108.53158736228943,46767.66372661048,556.7541599180694
109.05212306976318,47045.65752023435,555.3963331080668
109.55399227142334,47334.06426410319,554.0338750827786
110.07494521141052,47621.77564437839,552.719157694632
110.59262490272522,47897.78789551451,551.4978175163399
111.09793639183044,48184.20287732268,550.2606103638279
